190	255	65	thrL	UTI89_C0001	thr operon leader peptide	leader; amino acid biosynthesis: threonine	"involved in threonine biosynthesis; controls the expression of the thrLABC operon"""	YP_539042.1	GI:91209056
336	2798	2462	thrA	UTI89_C0002	bifunctional aspartokinase I/homoserine	threonine biosynthesis	"multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine; functions in a number of amino acid biosynthetic pathways"""	YP_539043.1	GI:91209057
2800	3732	932	thrB	UTI89_C0003	homoserine kinase	enzyme; amino acid biosynthesis: threonine	"catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate"""	YP_539044.1	GI:91209058
3733	5019	1286	thrC	UTI89_C0004	threonine synthase	enzyme; amino acid biosynthesis: threonine	"catalyzes the formation of L-threonine from O-phospho-L-homoserine"""	YP_539045.1	GI:91209059
5233	5529	296	yaaX	UTI89_C0005	hypothetical protein	no_function_annotation	no_note_annotation	YP_539046.1	GI:91209060
5309	5557	248	no_gene_name_annotation	UTI89_C0006	hypothetical protein	no_function_annotation	no_note_annotation	YP_539047.1	GI:91209061
5569	6345	776	yaaA	UTI89_C0007	hypothetical protein	no_function_annotation	no_note_annotation	YP_539048.1	GI:91209062
6415	7845	1430	yaaJ	UTI89_C0008	transporter YaaJ	"transport; transport of small molecules: amino acids, amines"""	no_note_annotation	YP_539049.1	GI:91209063
8124	9077	953	talB	UTI89_C0009	transaldolase B	"enzyme; central intermediary metabolism: non-oxidative branch, pentose pathway"""	no_note_annotation	YP_539050.2	GI:162138515
9189	9779	590	mogA	UTI89_C0010	molybdenum cofactor biosynthesis protein MogA	"transport; biosynthesis of cofactors, carriers: molybdopterin"""	"forms a trimer; related to eukaryotic protein gephyrin; functions during molybdenum cofactor biosynthesis"""	YP_539051.1	GI:91209065
9984	10550	566	yaaH	UTI89_C0011	hypothetical protein	no_function_annotation	no_note_annotation	YP_539052.1	GI:91209066
10699	11412	713	yaaW	UTI89_C0012	hypothetical protein	no_function_annotation	no_note_annotation	YP_539053.1	GI:91209067
11438	11842	404	yaaI	UTI89_C0014	hypothetical protein	no_function_annotation	no_note_annotation	YP_539055.1	GI:91209069
12172	14208	2036	no_gene_name_annotation	UTI89_C0015	glutamate dehydrogenase	no_function_annotation	no_note_annotation	YP_539056.1	GI:91209070
12214	14130	1916	dnaK	UTI89_C0016	molecular chaperone DnaK	"factor; folding and ushering proteins: chaperones"""	"heat shock protein 70; assists in folding of nascent polypeptide chains; refolding of misfolded proteins; utilizes ATPase activity to help fold; co-chaperones are DnaJ and GrpE; multiple copies in some bacteria"""	YP_539057.1	GI:91209071
14219	15349	1130	dnaJ	UTI89_C0017	molecular chaperone DnaJ	"factor; folding and ushering proteins: chaperones"""	"chaperone Hsp40; co-chaperone with DnaK; Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, dnaK-independent fashion"""	YP_539058.1	GI:91209072
15454	15663	209	gef	UTI89_C0018	gef membrane toxin	cell killing	no_note_annotation	YP_539059.1	GI:91209073
16218	16979	761	no_gene_name_annotation	UTI89_C0019	hypothetical protein	enzyme	no_note_annotation	YP_539060.1	GI:91209074
16963	18492	1529	no_gene_name_annotation	UTI89_C0020	hypothetical protein	no_function_annotation	no_note_annotation	YP_539061.1	GI:91209075
18621	19880	1259	no_gene_name_annotation	UTI89_C0021	hypothetical protein	no_function_annotation	no_note_annotation	YP_539062.1	GI:91209076
20115	21281	1166	nhaA	UTI89_C0022	pH-dependent sodium/proton antiporter	"transport; transport of small molecules: cations"""	"exports sodium by using the electrochemical proton gradient to allow protons into the cell; functions in adaptation to high salinity and alkaline pH; activity increases at higher pH; downregulated at acidic pH"""	YP_539063.1	GI:91209077
21347	22246	899	nhaR	UTI89_C0023	transcriptional activator NhaR	"regulator; transport of small molecules: cations"""	"Na+/H+ antiporter regulatory protein; activates the genes nhaA and osmC"""	YP_539064.2	GI:162138514
22258	22590	332	no_gene_name_annotation	UTI89_C0024	hypothetical protein	no_function_annotation	no_note_annotation	YP_539065.1	GI:91209079
22342	22605	263	rpsT	UTI89_C0025	30S ribosomal protein S20	"structural component; macromolecule synthesis, modification: ribosomal proteins"""	"binds directly to the 16S rRNA and is involved in post-translational inhibition of arginine and ornithine decarboxylase"""	YP_539066.1	GI:91209080
22708	22926	218	yaaY	UTI89_C0026	hypothetical protein	no_function_annotation	no_note_annotation	YP_539067.1	GI:91209081
22934	23875	941	ribF	UTI89_C0027	bifunctional riboflavin kinase/FMN	regulator; riboflavin biosynthesis	"catalyzes the formation of FMN from riboflavin and the formation of FAD from FMN; in Bacillus the ribC gene has both flavokinase and FAD synthetase activities"""	YP_539068.1	GI:91209082
23918	26734	2816	ileS	UTI89_C0028	isoleucyl-tRNA synthetase	"enzyme; aminoacyl tRNA synthetases, tRNA modification"""	"IleRS; catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); since isoleucine and other amino acids such as valine are similar, there are additional editing function in this enzyme; one is involved in hydrolysis of activated valine-AMP and the other is involved in deacylation of mischarged Val-tRNA(Ile); there are two active sites, one for aminoacylation and one for editing; class-I aminoacyl-tRNA synthetase type 1 subfamily; some organisms carry two different copies of this enzyme"""	YP_539069.1	GI:91209083
26734	27228	494	lspA	UTI89_C0029	lipoprotein signal peptidase	"enzyme; protein, peptide secretion"	"lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis"""	YP_539070.1	GI:91209084
